"","KH_1KO_L7_trim_paired_alPEv3.BAM","KH_2WT_L2_trim_paired_alPEv3.BAM","KH_3KO_L5_trim_paired_alPEv3.BAM","KH_4WT_L3_trim_paired_alPEv3.BAM","KH_6WT_L6_trim_paired_alPEv3.BAM","KH10KO_L1_trim_paired_alPEv3.BAM","KH7WT_L4_trim_paired_alPEv3.BAM","KH9KO_L8_trim_paired_alPEv3.BAM"
"A630001G21Rik",4608,2168,4594,3871,3998,3631,3694,4159
"Cab39",4674.64,3089,5597.75,4289.5,4210,3909.5,3955.5,4830.7
"Itm2c",1596,926,1295,823,875,1157,931,1250
"Gpr55",448,98,371,250,175,667,219,706
"Spata3",0,0,0,0,0,0,0,0
"2810459M11Rik",8.33,4.48,5.33,3,1,10.33,2,4
"Psmd1",2438,1077,2327.64,1649,1583,1635.14,1691,2172
"Htr2b",0,0,0,0,0,0,0,0
"Armc9",247.33,189,281,329,298.33,201,325.2,248.5
"B3gnt7",7,9,12,6,6,4,2,11
"Ncl",22823.58,10159.5,19138.5,15611,15055.75,16052,15349.5,17195.67
"Nmur1",1,0,0,0,0,0,1,0
"1700019O17Rik",0,0,0,0,0,0,0,0
"Ptma",13411.61,7170.34,8580.03,8311.27,7274.61,9890.73,7692,8311.79
"Pde6d",500.42,355.1,383,461.54,430.72,397.31,411.24,434.35
"Cops7b",419,210,399.5,341,343,330,341,385.5
"Nppc",0,0,0,0,0,1,0,0
"Dis3l2",10705.74,6072.28,10130.82,7970.98,7622.06,7866.87,8310.6,8620.31
"Alppl2",0,0,0,0,0,0,0,0
"Alpi",0,0,0,0,0,0,0,0
"Akp3",0,0,0,0,0,0,0,0
"Ecel1",3,1,2,1,0,4,0,6
"Prss56",0,0,0,0,0,0,0,0
"Chrnd",0,0,0,0,0,0,0,0
"Chrng",0,6,0,0,0,0,0,0
"Eif4e2",2303,1300,2286,2047,1959,1918.2,1902,2159
"Efhd1",0.33,0,1.33,1.33,1.12,2,0.37,0
"Gigyf2",1943,1459,2263,2052,1963.5,1687,2180,2214
"Kcnj13",0,0,0,0,0,0,0,0
"3110079O15Rik",0,0,0,0,0,0,0,0
"Ngef",60.73,30.79,41.15,36.14,31.34,45.98,34.21,40
"Neu2",0,0,0,1,0,0,1.5,0
"Inpp5d",2515,1885,3050,2588,2599,1906,2556.5,2555
"Atg16l1",1751.57,1296,1840,1910,1747.5,1449.5,1844,1632
"Sag",149.9,87.61,104.21,190.44,160.66,99.53,148.6,88.13
"Dgkd",3974,4388.5,6962.7,6133.45,5878.33,3885.5,6084.17,5310.5
"Usp40",339,302.2,470.33,607,514,293,586,425
"Ugt1a10",0,0,0,0,0,0,0,0
"Ugt1a9",0,0,0,0,0,0,0,0
"Ugt1a7c",0,0,0,0,0,0,0,0
"Ugt1a6b",0,0,0,0,0,0,0,0
"Ugt1a6a",0,0,0,0,0,0,0,0
"Ugt1a5",0,0,0,0,0,0,0,0
"Ugt1a2",0,0,0,0,0,0,0,0
"Dnajb3",0,0,0,0,0,0,0,0
"Ugt1a1",0,0,0,0,0,0,0,0
"Mroh2a",17,10,18,17,24,12,14,18
"Hjurp",2793.39,1555.1,3231.68,2650.54,2301.12,2055.25,2617.89,2811.5
"Trpm8",0.79,0.22,1,1.63,0.4,0.68,0.11,0.33
"Spp2",1,0,0,0,0,0,0,0
"Glrp1",24,11,14,13,9,9,11,13
"Arl4c",7272.5,6263,10820,10296,10971.11,8051,10808.7,10100.5
"Sh3bp4",138.18,38.52,51.67,26.96,19.71,29.51,29.86,66.79
"Agap1",14.83,11.5,3.17,6.33,2.17,0.33,2.5,3
"Gbx2",0,0,0,0,0,0,0,0
"LOC102637806",0,0,0,0,0,0,0,0
"Asb18",0,0,0,0,1,0.25,0,0
"Iqca",0.31,0,0,0.22,0,0,0,0.33
"Ackr3",4,0,0,0,0,1,0,0
"Cops8",1317,892,1213,1205,1087,1070,1192,1145
"Col6a3",12,13,0,0,1,0,0,1
"Mlph",0.2,2,0,0,0,0,0,0.2
"Prlh",0,0,0,0,0,0,0,0
"Rab17",5,0,3,0,0,2,1,2
"Lrrfip1",4995,3961,5372.2,6306.5,6167.75,4320,6384.25,5385
"Rbm44",1,1,4,0,3,1,4,1
"Ramp1",796,1130,542,1347.33,1267.5,807,1276,578
"Ube2f",805.58,497.83,662,597.58,599.25,554.75,545.25,547.08
"Scly",634,342,604.5,435,435,491,463.12,543
"Espnl",5,5,7,13,15,0,14,2
"Klhl30",12,2,27,2,2,9,1,4
"Fam132b",16,1,15,7,2,13,6,13
"Ilkap",2178.82,1540,2123.12,2358,2194.2,1966.5,2271.36,2050.45
"Hes6",823,509,643,667,725,784,710,644
"Per2",257,260,288,430,362.25,257,401,225
"Traf3ip1",519.12,346.38,761,808.14,795.11,489.11,727,674.12
"Asb1",249,257,402,354,329,236,399.17,345
"Twist2",425,11,118,18,5,162,11,193
"Hdac4",1532.73,1135.67,2164,1892.38,1670.5,1220,1657.57,1571.4
"Ndufa10",2761,1462,2413,2405.5,2085,2053,2229,2138.5
"Olfr1416",0,0,0,0,0,0,0,0
"Olfr1415",0,0,0,0,0,0,0,0
"Olfr1414",0,0,0.5,0,0,0,0,0
"Olfr1413",0,0,0,0,0,0,0,0
"Olfr1412",0,0,0,0,0,0,0,0
"Olfr1411",0,0,0,0,0,0,0,0
"Olfr1410",0,0,0,0,0,0,0,0
"Olfr12",0,0,0,0,0,0,0,0
"Myeov2",1349.67,749.5,897.5,869.33,837.5,1038.5,901,891
"Otos",10,8,8,19,12,19,23,14
"Gpc1",312,246.5,342,366.5,408,266,534,393
"Ankmy1",24,38,18,30,18,26,28,15
"Dusp28",177,88,118,98,116,130,108,116
"Rnpepl1",1753,1028,1614,1585,1637,1549,1422,1492
"Capn10",204,113,182,193,178.5,180,189,176
"Gpr35",126,19.2,4.4,18,14,6,11.5,7
"Aqp12",0,0,0,0,0,0,0,0
"Kif1a",14,3,0,6.5,1,1,0,0
"Agxt",0,0,0,0,0,0,0,0
"2310007B03Rik",0,0,1,0,0,0,0,0
"Crocc2",0,0,0,0,0.17,0.29,0,0
"Sned1",37,13,17.25,17,20,11,27,10
"Mterf4",221,156,206,189,193,196,209,199
"Pask",231,93,231,95.2,87,173,109,266
"Ppp1r7",1039.5,606,1053.33,851.5,837,759,788,938
"Ano7",5,2,4,0,1,2,1,2
"Hdlbp",3768.99,2115.27,4266.06,3319.84,3230.47,2913.33,3413.93,4149.7
"Sept2",2440.95,1440.17,2537.5,2678.83,2680.77,1916.75,2654.42,2609.92
"Farp2",121.25,67,139.25,103,97,54,99,102.2
"Stk25",1778,1443,1424,1958,1926,1631,1757,1490
"Bok",1,3,0,4,1,4,0,1
"Thap4",372,246,392,311,274,322,297,339
"Atg4b",1138.03,777.14,1164.17,1237.25,1122,985.75,1201.2,1047
"Dtymk",1871,1151,1646,1623,1575.2,1573,1609,1666
"Ing5",645.33,578,803,850,839.5,638,878,799
"D2hgdh",214.11,187,312,279.17,366.08,218.42,273.08,314.19
"Gal3st2",19.78,12.73,4.84,21.62,11,1.93,15.83,4
"Gm9994",150.61,140.33,151.33,220.67,210.83,132.33,197.83,152.33
"Gm7889",33.83,29.17,50.5,50.67,57.87,36.25,43.08,48.83
"Gm6086",14.78,17.5,13.83,14.83,14.5,17.33,13.5,6.5
"Neu4",0,0,1,0,0,0,0,0
"Pdcd1",665,72,343,48,37,382,54,330
"Fam174a",414,303,380,337,351,308,308,274
"St8sia4",1490,1335,1943,1819.1,1634,924,1259,1424.14
"Slco4c1",1.25,2,0,0,0,0,0,0
"Slco6c1",0,2,0.11,0,0,0,0.14,0.39
"Gm7133",2.95,5.65,4.22,2.92,4.38,2.15,2.34,4.48
"Gm7135",0,3.33,1.64,3.25,3,0.33,0.14,1
"D1Ertd622e",684.5,392.5,730,542,497,473,429.5,675
"Ppip5k2",1643,1163,2260.11,1737,1559,1330,1581,1963
"Gin1",548.82,335.46,420.03,560.45,588.91,426.15,552.42,438.64
"Pam",5412.28,2964.83,4386.5,3760.46,3484.67,4320.67,3517.17,4184
"Slco6d1",76.23,47,65.08,72.06,47.58,42.58,55.5,62.42
"Cntnap5b",333.13,154.09,200.29,162.88,140.33,217.79,182.43,218.26
"Cdh20",8,5.33,3.42,7.33,4,6.28,5.67,3.17
"Rnf152",1,6,1,0,2,1,1,0
"Pign",1174.91,751.6,1205.96,974.83,960.15,676.83,837.42,984.1
"2310035C23Rik",1987.3,1812.05,2347.72,2693.99,2447.63,1712.62,2742.77,2296.36
"Tnfrsf11a",62.62,13,1.75,1.38,1.62,1.12,0,0.25
"Gm7160",152,96,163,161,174,94,157,164
"Zcchc2",1871,1055,2219,1805,1745,1403,1622,2002
"Phlpp1",374,147,235,166.5,149.64,212.5,164,244.12
"Bcl2",3123.25,3161,3882,4410,3705.39,2500,3283.5,3193.5
"Kdsr",697.88,529.37,889.06,824.28,751.36,554.79,810.01,784.63
"Vps4b",2059.5,1709,2690,2548,2350,1642.5,2255.5,2290.5
"Serpinb5",16,0,11,2,3,8.5,2,7
"Serpinb12",1,0.25,0,0,0,0,0,0
"Serpinb13",0,0,0,0,0,0,0,0
"Serpinb3a",0,0,0,0,0,0,0,0
"Serpinb3d",0,0,0,0,0,0,0,0
"Serpinb3b",0,0,0,0,0,0,0,0
"Serpinb3c",0,0,0,0,0,0,0,0
"Serpinb11",0,0,0,0,0,0,0,0
"Serpinb7",0,0,0,0,0,0,0,0
"Serpinb2",0,0,0,0,0,0,0,0
"Serpinb10",5.7,2.5,1.67,1,0.25,2.42,0.58,1
"Serpinb8",7,3,0,0,0,0.5,0,0
"Cdh7",0,4.11,0.14,0,0.48,0,0.56,0.62
"Cdh19",2.9,3.44,4.27,2.77,2.45,1.44,3.1,2.57
"Dsel",185,132,146,152,148,86,151,110
"Cntnap5a",3.9,5.2,8.93,6.46,3.43,3.44,6.24,4.24
"LOC108167601",0,0,0,0,0,0,0,0
"B020011L13Rik",0,0,0.14,0,0,0.14,0,0.14
"Tsn",2189,1427,2366,2027,1951,2033,1876,2115
"Nifk",1419,955,1535,1169,1179,1253,1212,1202
"Clasp1",1047.17,556,1100,1065,926.17,736.5,977,974
"Tfcp2l1",39.05,23.97,12.73,20.05,15.3,25.5,25.25,17.1
"Gli2",3.33,2,1.33,1,5.45,2.33,1,0
"Inhbb",1,1,0,1,0,0,0,0
"Ralb",243,96,84,100,78,146,92,111
"Tmem185b",521,401,554,464,533,469,519,484
"Epb41l5",20,33.11,18,21,21.11,6.21,28,9.25
"Ptpn4",1017.89,933.34,1419.9,1221.4,1107.98,690.98,1088.35,1229.37
"Tmem177",99,82,118,100,121,73,126,78
"Cfap221",0,0,1,1,0.17,0.5,0.5,2
"Sctr",0.25,6,3.12,6.12,2.11,3.12,2.12,2.5
"Tmem37",27,4,18,3,15,5,8,16
"Dbi",755,284,471,287,292.5,640.5,282.5,475.5
"3110009E18Rik",198,156,192.75,243.67,224.33,155.33,255.63,179.4
"Steap3",28,6,50,24,45,14,59,30
"C1ql2",1,0,0,0,0,0,0,0
"Marco",29,16,0,0,0,0,0,0
"En1",0,3,0,0,0,0,1,0
"Insig2",414,255,392,450,442,314.5,469,433
"LOC108167603",0,0,0,0,0,0,0,0
"Ccdc93",699,604,1054.33,971.78,1026,648.17,939.22,1013.77
"Htr5b",10,17.5,1,3.28,4,3.17,0,3
"Ddx18",749.08,643.67,950.33,904.17,852.58,705.83,834.67,823.17
"Dpp10",12.92,12.33,11.78,10.18,11.83,6.64,5.55,3.15
"Actr3",14139.48,11869.25,15021.41,15818.87,14214.58,12352.67,13923.08,13747.61
"Slc35f5",49,6,10,7.14,3,29,6,12
"Gpr39",1.67,1.12,0.72,1.44,0.62,0.85,0.89,1.03
"Lypd1",2,0,1,0,0,0,0,0
"Nckap5",16.29,7.67,7.97,7.69,7.81,6.16,5.16,4.66
"Mgat5",4655,2578.02,3628.35,3135.83,3126.58,3486.69,3026.56,3278.78
"Tmem163",103.89,48.82,78.9,19.07,37.6,46.61,26.22,59.44
"Acmsd",6,4,1,6,1,6,2,3
"Ccnt2",2216,1646,2551,3008,2705,1742,2495,2418.2
"Map3k19",17,4,5,12,4,10,9,10
"Rab3gap1",1883.32,1655.07,2264.27,2477.29,2240.13,1478.46,2125.29,1919.67
"Zranb3",13239.54,5469.84,9111.77,7585.7,7017,9108.45,7252.63,7518.78
"R3hdm1",2235.33,1717.08,2622.75,2850.98,2451,1878.2,2316.43,2475.2
"Ubxn4",2340.39,1487.25,2237.08,2287.17,2314.2,1972.36,2084.33,2158.12
"Lct",2,3,2,3,2,5,2,0.14
"Mcm6",3125.5,1234,3811.5,1884,1655,2901,1875.5,3947
"Dars",2283,1578,2807,2530.67,2365.5,1839.25,2379.58,2352.25
"Cxcr4",2945,2901,1763,2725,2119,354,1246,395
"Thsd7b",4656.56,2442.81,3649.96,3450.58,3410.77,3721.15,3723.69,3115.93
"Cd55b",10.11,15.03,15.4,44.39,42.75,4.43,35.73,11.18
"Cd55",528.93,912.66,677.81,2019.45,1975.09,273.36,1866.53,564.94
"Zp3r",3.75,3.5,3.02,13.25,14.11,3.12,5.88,0.75
"C4bp",0,0,0,0,1,0,1,0
"Pfkfb2",808,699,946,1193.5,1110.5,687,1071,877
"Yod1",0,0,0,0,0,0,0,0
"AA986860",32,25,13,32,26,25,21,19
"Fcamr",11,8,1,0,0,1,0,0
"Pigr",3,2,0,0,0,0,0,0
"Fcmr",81,27,1,0,0,0,1,0
"Il24",0,0,0,0,0,1,0,0
"Il20",0,0,0,0,0,0,0,0
"Il19",4,0,0,2,0,2,0,0
"Il10",94.22,2.5,26.79,0.17,1.65,13.92,1.62,13.83
"Mapkapk2",2068,1001,1651,1315.5,1208,1218,1222,1483
"Dyrk3",18,2,2,1,2,10,4,4
"Eif2d",912,565,951,837,933,832.5,979,980
"Rassf5",311,200,848,486,437,266,489,612
"Ikbke",9984,6480,8356,10325,9738.67,9766,9373.1,8687.11
"Srgap2",1832.06,1017,1975.03,1930,1827,1469.75,1723,1779.83
"Fam72a",174,60,112,69,58,63,65,87
"Avpr1b",0,0,0.2,0,0,0,0,0
"Ctse",4637.57,2612.58,4833.33,4417.05,4341.7,4015.61,4430.59,4703
"LOC108167725",0,0,0,0,0,0,0,0
"Rab7b",107,69,31,54,47,43,56,35
"Slc26a9",0,1,0,0,0,1,0,0
"Pm20d1",2.25,0,0,0,1,0,0,0
"Slc41a1",823,347,868,724,728,718,626,803
"Rab29",492,289,406.33,404.33,405.17,424.25,461,455
"Nucks1",3678.27,2013.25,3239.17,2815.5,2555,2435,2599,2869.11
"Slc45a3",14,1,0,4,1,0,3,1
"Elk4",424,321,992,619,544,263,651,863
"Mfsd4a",5772.8,4791,6124.14,7765.38,7660.2,6443,7844.54,6751
"Cdk18",0,2,0,0,0,1,0,0
"Lemd1",0.67,1.12,0,1.37,0.48,0.34,0.17,2.5
"Klhdc8a",1,0,0,0,0,0,0,0
"Nuak2",110,31,6,5,1,13,1,18
"Tmcc2",20,35,11,19,16,9,14,7
"Dstyk",172.5,144,148,205,160,121.5,198,154
"Rbbp5",1330.5,964.5,1667,1746.5,1586,1100,1488.5,1514.5
"Tmem81",0,0,0,0,0,0,0,0
"Cntn2",0,0,0,0,0,0,1,0
"Nfasc",3.68,1.64,0.2,1.45,2.28,1.34,2.01,0.88
"Lrrn2",0,3,3,3,2,1,1,0
"Mdm4",10686.99,9868.93,13230.85,16017.76,15355.98,9536.33,14625.39,13007.96
"Pik3c2b",58,107,54,136,137,64,145,70
"Ppp1r15b",2814,1888,3356,3002.33,2978,2307,2976,2881
"Plekha6",61.75,81.67,62.25,123.75,114.95,40.5,93,57.5
"Golt1a",0,0,0,0,0.5,0,0,0
"Kiss1",0,0,0,0,0,0,0,0
"Ren1",0,0,0,0,0,0,0,0
"Etnk2",3.5,0,0,0,0,1,0,0
"Sox13",11.5,0.5,3.5,6.75,10,10.75,16.75,2.5
"Snrpe",1781.67,1049,1122.08,1154.42,1059,1270.58,1044.33,1040.25
"Zc3h11a",5731.33,4260.5,5282.67,6133.67,5886.25,5085.17,5320.75,5487.33
"Zbed6",0,0,0,0,0,0,0,0
"Lax1",7900,3224,8216,4133,4564,6082.5,4326.7,7090
"Atp2b4",563.38,117,399,83.4,138,303.17,119.11,502.21
"Optc",0,0,0,0,0,0,0,0
"Prelp",2.5,5,0,4,1,0,2,1
"Fmod",1,1,0,0,0,0,0,0
"Btg2",2173,1726,2113,2146,2421,1658,2021,1886
"Chit1",1.33,0.2,3.33,0.36,0.31,0.5,0.12,2.33
"Chil1",6,3,0,3,1,3,1,0
"Mybph",0,0,0,0,0,0,0,0
"Adora1",0,0,0,0,0,0,0,0
"Myog",0,0,0,0,0,0,0,0
"Ppfia4",154.14,61,16,17,21,10.5,20,24
"Tmem183a",1584.53,1076.33,1346,1577.92,1481,1178.96,1472.3,1272.51
"4933406M09Rik",0,0,0,0,0,0,0,0
"Cyb5r1",502,320,370,458,410,496,404,384
"Adipor1",1794,1286,1697,1590,1449,1347,1444,1648
"Klhl12",511,503,602.33,679.5,621,470,614,594
"Rabif",904,706,1002,995,1026,823,1017,999
"Gm29376",914.12,470.92,677.42,563.63,588.5,704.43,585.73,604.78
"Mgat4e",2,4,2,3,1,0,2,0
"Kdm5b",988,833,1067,1344.25,1342,907.17,1349,997
"Syt2",4,2,1,2,0,5,1,2
"Ppp1r12b",563.33,417,613.45,608.5,628,415,613.45,565
"Ube2t",329,90,255,205,198,213,170,248
"Lgr6",2,0,1,0.5,1,2,0,3
"Ptprv",266.33,88,215.25,175,193,202,182,218.33
"Ptpn7",3168.5,1805,2564.5,1961,2173,2302.5,2464,2606.5
"Arl8a",748,430,545.5,728,630,501,607,552
"Gpr37l1",1,0,0,0,0,0,0,0
"Elf3",0,5,2,1,0,1,0,0
"Rnpep",1517.14,716,1318.5,973.33,1006,1340,1052,1216.25
"Timm17a",556.5,383.5,396,387.5,351.5,397.5,395.5,397.5
"Lmod1",0,0,0,1,2,0,0,0
"Shisa4",13,9,3,9,4,21,9,8
"Ipo9",1966.33,1045,2023,1905,1715,1588.5,1740,2120
"Nav1",118.44,23.11,16.14,17.79,15.12,18.12,15.4,18
"Csrp1",1153,485,1081,595,606,988.5,712.5,1087
"Phlda3",21,8,9,5,5,12,4,6
"Tnni1",9,2,2,4,1,4,8,6
"Lad1",554,142,264,222,158,452,270,328
"Tnnt2",28,16,15,21,11,33,13,14
"Pkp1",1,4,0,0,0,1,0,0
"Igfn1",0,0,1,2,0,0,1,0
"Tmem9",0,0,0,0,0,0,0,0
"Ascl5",0,0,0,0,0,1,0,0
"Cacna1s",61,1,4,6,3,5,1,6
"Kif21b",9668,8722,12450,13628.5,12456.1,8376,11620,10826
"5730559C18Rik",1,0,2,0,0,1,0,1
"Gpr25",7,0,3,0,0,1,0,2
"Camsap2",661,575,805,877,848,503.5,818,790
"Ddx59",252,164.12,276.33,263,254,201.5,301.24,260.5
"Kif14",493,54,459,106,81,174,72,348
"Gm29485",0,0,0,0,0,0,0,0
"Zfp281",1821,1169,1900,1622,1398,1255,1345,1535
"Nr5a2",1,1,0,0,0,0,0,0.17
"Ptprc",55590.11,40814.5,70468,61084,58696.67,44763.5,54631.67,61993.56
"Atp6v1g3",11,3,12,3,0,7,2,2
"Nek7",2392.42,1327.15,2685.93,1642.8,1547.18,1531.68,1407.41,2331.41
"Lhx9",1,9,0,1,3,1,2,1
"2310009B15Rik",143,101,130.5,180.5,154,140,134,126.5
"Dennd1b",1693.37,1411.23,2178.96,2044.75,1757.57,1161.38,1823.74,1714.26
"Crb1",14,22,5.7,6,6.33,7.17,5.79,15
"Zbtb41",534.25,282,642,602,564,381,563,615.25
"Aspm",757,113,663,156,152.2,228,154,540
"F13b",136,0,0,0,1,0,0,0
"Cfhr1",0.5,0,0.5,0,0,0.5,0,0
"Cfhr3",2.29,0.14,0.5,1.55,1.17,0.27,1.18,1.34
"Gm4788",8.52,6.53,17.6,12.57,10.22,4.46,13.48,9.85
"Cfhr2",0,0,0,0,0,0,0,0
"Cfh",50.75,24,18,32,47,1,7,0.5
"Kcnt2",4.1,0,1.25,2,0.56,4.11,1.5,2.12
"Cdc73",2246.06,1450.51,2574.77,2242.44,1997.48,1976.04,1978.1,2355.4
"B3galt2",0,0,0,0,0,0,0,0
"Glrx2",715,475,626,671,696.5,625,649.75,677
"Trove2",103,76,101,85,110,60,99,92
"Uchl5",1432,825,1293.17,1149,1058,1183,942.33,1139.5
"Rgs2",1446,943,636,806,570,562,411,351
"Rgs13",5.2,0,0,0,0,0,0,0
"Rgs1",2086,460,1594,592,465,879,335,826
"Rgs21",0,0,0,0,0,0,0,0
"Rgs18",17,15,1,4,1,1,1,2
"Brinp3",199.18,127.61,310.67,226.08,230.57,185.19,204.12,308.62
"Pla2g4a",66,8,8,16,13.14,14.5,6.14,8
"Ptgs2",53,4,3,0,0,0,0,1
"Pdc",0,0,0,0,0,0,0,0
"BC003331",535.83,209,377,399,406,343.5,439.5,400
"Tpr",6965,4025,10037,8534,8134.83,5565,7570,8752.5
"Prg4",20,16,11,18,19,18,21,15
"Hmcn1",18.9,12.3,1.3,7.4,3.2,5.5,2,97.6
"3110040M04Rik",0,0.5,0,1.5,0,0,0,0
"Ivns1abp",7599,6648,8127,9057,8391,6919,8140,7868
"Swt1",644.2,393.6,660.55,741.64,668.14,502.17,659.32,698.7
"Trmt1l",1684,888,1442,1452,1480.5,1294,1119,1256
"Rnf2",1482.67,1146,1609,1669,1505.5,1150.17,1345.67,1361
"Gm36527",0,0,0,0,0,0,0,0
"Fam129a",856,148,556.5,132.5,117.75,416,152.5,627.6
"Edem3",1069,901,1487,1484,1269.5,879.67,1136,1417
"1700025G04Rik",859,245.5,1852,320.5,422,572,310.25,1043
"Tsen15",264,128.5,267,279.67,294.5,221,240,266
"Colgalt2",6,3.38,6.21,6.81,1.14,10,9.12,4.46
"Rgl1",280.05,61.27,124.52,77.94,59.82,72.34,81.71,96.37
"Apobec4",0,0,0,0,0,0,0,0
"Arpc5",8904.17,6302,8579.5,8304,8360,7887,8415,8203.17
"Ncf2",142,26,20,14,7.33,8.5,22.5,15.83
"Smg7",2887,2211,3381.5,3411,3014,2738,3032.5,3002.5
"Nmnat2",391.61,279.57,673.12,534.75,555.04,249.89,521.67,405.39
"Lamc2",12,2,1,3,0,4,0,4
"Lamc1",102.33,59,67.5,45,43.33,45.83,36.83,53.5
"Shcbp1l",73,58,35,39,19,21,20,39
"Dhx9",7164.29,4531.27,8942.1,7259.25,6774.27,5266.12,6274.14,7627.39
"Npl",43.62,13.5,1,0.81,2,4.07,0.2,3
"LOC108167735",0,0,0,0,0,0,0,0
"Rgs8",9,0,4,0,0,1,0,5
"Rgs16",556,155,139,47,18,95,31,96
"Rnasel",1205.33,918.17,1334.5,1701.33,1709.58,986.67,1612.87,1441.67
"Rgsl1",3,1,2.17,2,8.25,0,10,3
"Teddm2",1,0,0,2,2,0,0,0
"Teddm1b",0.25,0,2,2.11,5,0,3.2,1
"Teddm1a",0,4,1,0,0,0,1,1
"Glul",1593.17,1134,1251.5,1237.92,1125.33,1022,1101.33,1163
"Zfp648",0,0,0,0,0,0,0,0
"Cacna1e",147.25,49,4.75,6.14,0,4.33,4.37,4
"Ier5",2671,2193,1824,1790,1670,2232,1568,1526
"Mr1",333,261,345,400,413,306,394,382
"Stx6",1739.11,777.4,1298.33,1424.5,1310.07,1261.32,1380.33,1499.33
"BC034090",8,15,4,17,11,5,19,5
"Xpr1",786,564,1033,906,867,572,821,961
"Acbd6",880.25,544.7,697.46,799.83,634.33,684.67,657.33,655.88
"Lhx4",2,0,0,1,0,1,2,1
"Qsox1",1013,727,1009,1144,1091,942,1159.25,961
"Cep350",2136.4,1595,3338.87,2936.2,2734.25,1716.5,2518.37,2987.75
"Tor1aip1",2174,1618.5,2268.5,2003.81,1785,1732,1846.5,2090.21
"Tor1aip2",2362.5,1566,2774.5,2512.83,2482.14,1705,2204,2567.5
"Fam163a",4.22,0.14,3,0.62,0.48,0.89,0.25,1.14
"Tdrd5",5.24,2,2.5,1.5,2.62,4.12,2,1
"Nphs2",2,4,7,5,4,18,7,12
"Axdnd1",13226.9,6396.2,8705.89,8039.75,8136.27,9738.13,8191.4,7680.17
"Soat1",660,404,641.5,637,696,439,606,712
"Abl2",814,691,1104,1106.33,959,637,1075,935
"Tor3a",446,118,233,157,149,240,146,280
"Fam20b",876.3,658.7,966.8,946.45,896.42,742.4,874.81,934.5
"Ralgps2",1579.5,1268.11,1562.28,2210.94,1997.35,1362.68,2155.46,1731.38
"Angptl1",0,0,0,0,0,0,0,0
"4930439D14Rik",3,4,0,3,0,1,4,4
"Tex35",0,0,0,0,0,0,0,0
"Gm30694",0,0,0,0,0,0,0,0
"Rasal2",55.91,23.25,11.59,8.13,13.25,6.81,15.89,6.6
"BC026585",12.78,5.12,7.14,7.01,3.24,6.91,5.66,7.8
"Sec16b",3.25,7,5,1,7,2.25,5,8
"Brinp2",1.29,2,1.35,0.6,0,1,0,0.45
"Astn1",0.12,3,0,0.49,1,0,0.2,0.5
"Pappa2",4.12,1.57,4.79,1.66,3.64,1.29,3,5.13
"Rfwd2",320.96,266.28,376.7,479.56,349.27,267.6,354.57,326.9
"Tnr",4,0,5,12,5.2,4.42,4.33,8
"Gm31493",5,0,1,9.33,4,8,3,4.25
"4930523C07Rik",2639,2191,3081,3857,3381,2204,3831,3212
"Tnn",32,46,25,41,28,19,38,20
"Mrps14",1279,601,759,782.5,825,829,829,860
"Cacybp",2132.5,1170.58,1698.92,1600.17,1549.25,1911.92,1603.33,1645.58
"Rabgap1l",4242.99,2940,3640.18,3724.83,3819.17,2245.78,3611.98,3653.09
"Gpr52",0,0,0,0,0,0,0,0
"Rc3h1",2131,1793,2527.5,2434.5,2335.5,1568.2,2080,2481
"Serpinc1",19,15,21,30,13,39,30,17
"Zbtb37",335.5,265,607,472,480,175.2,467,470
"Dars2",644.2,304,524,405,441,414,420,528
"Cenpl",608,266,580,299,313,348,248,460
"Klhl20",716.5,589,1084.45,1006.56,963.11,720.64,974.42,865.75
"Ankrd45",1,2,7,1,0,0,0,2
"4930469G21Rik",0,0,0,0,0,0,0,0
"Prdx6",3527.5,2347.5,2791.5,2949.5,2679.5,2375,2599,2849
"Tnfsf4",265,10,97,8,3,96,15,138
"Tnfsf18",1,0,1,0,0,0,0,0
"Fasl",95,10,82,3,4,26,2,47
"Suco",1620,1147,1740.5,1816,1503.5,1330,1495,1504
"4930558K02Rik",3,0,8,0,2,5,1,1
"Pigc",0,0,0,0,0,0,0,0
"Dnm3",50.56,3.33,17.17,17.64,11.79,19.04,17.47,41.32
"Mettl13",294,237,438,321,352,290,381,313
"Vamp4",695,494,869,862,794,647,798,833
"Myoc",0,0,0,2,2,0,2,3
"7420461P10Rik",2,2,0,0,1,1,2,0
"Prrc2c",8164.5,6193.67,13069,11445.92,11133.25,6642.33,9992.92,11550
"Fmo4",0,0,0,0,0,0,0,0
"Fmo1",123.05,80.84,243.36,159.38,91.21,52.31,115.85,95.46
"Fmo2",2,0,1,1,2,1,1,0
"Fmo6",0,0,0,0,0,0,0,0
"Fmo3",2.38,1.52,1.04,3.97,1.55,2.09,2.42,2.57
"Mroh9",0,0.25,0.2,0.2,0.2,1,0.25,0
"Prrx1",2,12,1,0,0,1,0,0
"Gorab",232,161,208,247.4,213,202,255,218
"Mettl11b",0.1,0,0,0,0,0.11,0,2
"Kifap3",68.75,57,54.7,82.4,73,66.12,77.99,87
"Scyl3",421,282,778,669,601,320,620,707
"BC055324",399,177.5,283,213,173,248,184,285
"Mettl18",143,136,121,112,127,141,129,128
"Sele",87,74,98,126,151,62,124,90
"Sell",18221.75,11183,29310,18969,19905,14888,17611,22313
